category,article
assistive technology,Datameer
patient protection and affordable care act,Multivariate testing
computer programming tools,Cyber security
video game levels,Production engineering
mpeg,T1
nepali-speaking countries and territories,MathType
web technology,Direct marketing
california republicans,Emerging technologies
teletraffic,Network cabling
wamp,XAML
digital preservation,Sales process
microsoft cloud services,Software modernization
non-impact printing,Technical support
navigational equipment,Solaris
bounce tv affiliates,FERC
national symbols of austria,V-Ray
macos development,CoreOS
theorem proving software systems,3GPP
aid,Layered hidden Markov model
java virtual machine,Email
radio stations in chicago,Microsoft Publisher
media readers,Fedora
identity management systems,Learning to rank
video game levels,Process Scheduler
federal emergency management agency,ISSAP
firearms by type,Ellipsometry
powerpc emulators,Requirements management
audio amplifiers,Database design
privacy of telecommunications,Jersey
world health organization,OTRS
french male painters,Military officer
pack animals,UDDI
exhibition tennis tournaments,Nuke
applied learning,Optical design
copyright enforcement,File systems
christian philosophy,Microscopy
ieee standards,QuarkXPress
singlechart called without artist,Keyboarding
united states proposed federal legislation,WAIK
crm-software for os x,Database
united states department of defense agencies,OpenEdge ABL
"chemical, biological, radiological and nuclear defense",Reporting
feature detection (computer vision),GNU Debugger
retail pos systems,Audio mixing
anti-forensic software,Adobe Flash Cast
sound recording,VxWorks
cantonal capitals of switzerland,Authentication
security technology,Encryption
surveying,Cobertura
web server software,Symantec Endpoint Protection
micro focus international,Jersey
javascript libraries,Oracle Fusion Architecture
backup,VXL
career and technical education,Office Assistant
software using the mozilla license,Object-relational mapping
islamism in syria,Domain controllers
spanish words and phrases,Ghost
commercial molluscs,Apache POI
employee benefits,Hand tools
exercise physiology,Search engines
music production,IDMS
suits (clothing),Schematic capture
atari st software,Chemical engineering
nvidia software,CaseMap
science fiction video games,Software documentation
disputed territories in asia,Lagrangian mechanics
universal windows platform apps,HSPA
united kingdom-centric,GDAL
software that uses cairo,Microsoft Live Meeting
first aid,iPod
microkernel-based operating systems,Cellular
automotive lamps,NimbleX
.net programming languages,Open source
it risk management,Chemistry
literary techniques,Design review
film,Mono
telephone crimes,Financial software
chemical substances,OSI
php frameworks,PyQt
fortran,Scaleform
felsic rocks,ENOVIA
metadata standards,GoToMyPC
planning,HSUPA
country radio stations in the united states,SAP IS-U
systems analysis,Universe
indian premier league franchise owners,Professional services
desktop publishing software,Office Open XML
metadata standards,Logic Pro
free typesetting software,Adobe Flash
social engineering (computer security),SAP PI
wars involving costa rica,Paralegal
history of the internet,VMware ThinApp
country radio stations in the united states,IFW
configuration management,Agile
electronics industry in london,Product strategy
state agencies of illinois,IBM Director
windows word processors,ROOT
technical specifications,Software release life cycle
macos network-related software,Health information exchange
subsystem,Adobe Flash Builder
art materials,Mechanics
national symbols of romania,RMCA
violins,Heavy equipment
cross-platform web browsers,CADKEY
style guides for american english,CORBA
qwest records artists,JSON
infographics,Recovery
linux foundation projects,ActiveSync
scientific techniques,Problem solving
mobile route-planning software,PlayOnLinux
normal distribution,VHDL
journalism,SQL*Plus
alumni of the école des beaux-arts,VXL
government agencies of queensland,Flow cytometry
qwest records artists,Internet Explorer
information governance,Mobile payments
united states department of commerce agencies,System testing
windows-only free software,Microsoft Dynamics CRM
wars involving nicaragua,GPU
oracle acquisitions,V-Ray
financial technology,Financial
media industry,Signals intelligence
united states department of commerce agencies,Loan origination
international standards,CICS
provincial and territorial orders of canada,Datacom
design of experiments,Benchmarking
power operating systems,FICA
scientific techniques,Control flow
"rivers of middlesex county, massachusetts",Organizational change management
persecution of yazidis,IBM RPG
file sharing services,Generalized linear model
united states department of defense,Knowledge management
frank sinatra,IBM SAN Volume Controller
algorithm description languages,NetWare
professional magicians,SolarWinds
computer-aided engineering,Cyber security
history of computing hardware,Transition management
8th-century english people,Scaleform
university of michigan,Hardware
"chemical, biological, radiological and nuclear defense",Microsoft Dynamics CRM
15th-century christian saints,Investment control
open standards covered by patents,Windows Registry
medical treatments,3D CAD
file sharing services,Proteomics
speech processing,Oracle Streams
lagrangian mechanics,Work ethic
augmented reality,Erdas Imagine
united states department of labor agencies,Customer insight
accounting software,RFDS
macos graphics software,OEM
astrological aspects,Oracle Enterprise Manager
acoustics,Apache Drill
neurological disorders in children,Certified Ethical Hacker
united states department of justice,Cobbler
dec operating systems,Microsoft Message Queuing
blog software,Advent
operating system technology,Real estate management
website management,Digital design
computer animation,NHIN
teenage mutant ninja turtles,Alteryx
equations of physics,JavaServer Faces
7th-century births,Pair programming
website management,OS/390
internet privacy,VSTS
byzantine hymnographers,LS-DYNA
garden plants of north america,PlateSpin
voip protocols,Financial planning
stochastic simulation,Oracle Adaptive Access Manager
currencies of ecuador,ISPF
drought-tolerant plants,Hierarchical clustering
logic,ESA
indoor arenas in canada,Machining
stochastic simulation,RBAC
document-centric xml-based standards,Continuous integration
arts,Oracle Complex MRO
texas instruments hardware,Security+
mpeg,SOS
human–computer interaction,Preventive maintenance
federal emergency management agency,NetWare
note-taking software,Content creation
free network management software,QNX
c compilers,Data cleansing
electrical power connectors,White-box testing
